back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,is_stand,is_back_front,is_knee_narrow,is_knee_wide
87.66576058,89.60733485,59.49845357,51.01040754,77.7868482,70.41619793,118.6393871,102.4145711,0,0,0,0
92.23134548,95.61465475,60.71227817,49.10647404,78.10871763,73.39490645,117.1933685,101.5446994,0,0,0,0
98.43345458,101.1129263,64.40892765,51.63598237,79.00426137,73.75911314,116.3325117,101.0200492,0,0,0,0
103.7671366,103.6476461,65.88477173,53.04306323,82.86172755,73.61928834,114.4622482,100.2124912,0,0,0,0
110.1261802,107.4334106,66.17482688,52.39178442,82.81071139,77.85446336,113.2829903,100.6364284,0,0,0,0
110.621875,111.0291457,68.14660327,58.07880269,82.88645099,80.98917948,112.7852206,100.8772614,0,0,0,0
112.8664233,113.7709467,65.5243385,55.37296586,84.57882859,81.71766951,111.5153923,99.5529582,1,0,0,0
116.0481279,117.2610222,62.62102381,55.7653235,84.44216706,82.62440759,111.0864364,98.42535012,1,0,0,0
122.3016997,121.5847862,75.39877527,62.28152105,86.5651705,81.59689998,112.3301675,96.83313965,1,0,0,0
127.2513033,128.012156,86.66540729,73.95372952,85.2521155,84.56753878,112.6799378,96.58788445,1,0,0,0
138.1063013,133.7280294,98.25433671,81.81558482,89.58062841,85.72261018,111.8038877,97.34787012,1,0,0,0
152.9930602,151.6174981,147.9214458,144.7948594,88.68311821,91.23803561,108.7241376,105.1670711,1,0,0,0
153.6191394,147.8628531,157.4790641,156.8875989,88.54029502,96.82855126,103.4849711,103.8026832,1,0,0,0
154.840487,149.3220091,162.8410236,160.0199951,92.14425149,99.48502105,100.5810385,100.9263304,1,0,0,0
153.8537436,148.7816914,159.2832919,159.9501322,90.70866492,102.7436876,97.75487477,100.5704528,1,0,0,0
155.5645153,147.4547726,155.9381377,160.9260506,86.78210285,109.5477824,96.0881622,100.3535754,1,0,0,0
155.9282478,143.473869,155.600149,162.3494296,82.94949331,114.6776467,95.65298649,100.370549,1,0,0,0
152.1828301,144.8429512,161.8595437,161.4594659,86.7339974,110.3822374,92.92428318,100.4088792,1,0,0,0
150.3234777,146.9123637,161.3032131,158.8785657,87.14585335,107.5859375,92.01373909,100.6077582,1,0,0,0
153.0662828,144.4357513,160.1460028,160.256751,82.15323511,114.7447536,92.50532132,102.2108142,1,0,0,0
154.8304676,146.1048134,156.3053831,158.4186404,78.99896572,118.3559588,93.46918885,102.0539549,1,0,0,0
158.1959182,148.5979587,153.3008742,157.6076849,77.54198964,120.7599729,93.6990747,101.0040075,1,0,0,0
157.8997424,148.9577043,157.0176777,158.5812713,80.45247173,116.6606171,91.47005463,100.5232899,1,0,0,0
158.1183821,148.0090436,154.5139528,157.6115284,77.8795916,117.8950718,91.53499043,100.1895895,1,0,0,0
157.9910122,147.4500916,153.7412513,157.8042734,77.2932696,117.4293066,91.36486381,100.1875315,1,0,0,0
158.2373208,147.8458367,152.7542198,157.5039164,77.44654012,116.6670755,91.49201229,100.4024759,1,0,0,0
158.0814107,148.6530253,151.3055071,156.6387991,77.51787571,115.4045087,91.36862337,100.1550665,1,0,0,0
158.0384622,148.7767663,151.3394511,157.2952686,77.97203486,114.2997082,91.12974388,100.1668029,1,0,0,0
158.1980438,149.29417,151.8566274,157.7927576,78.04546204,114.6769846,90.44202205,101.1109584,1,0,0,0
159.185803,148.1946638,148.2965103,156.5833696,74.4383277,117.2960237,90.13984505,102.1133183,1,0,0,0
156.9331592,146.8034964,152.7500623,158.1834787,75.5679584,116.1951591,88.79039197,103.6221392,1,0,0,0
155.2584694,147.4212433,154.4608649,157.4219196,77.20291755,113.751574,87.43193478,103.8857354,1,0,0,0
153.7252975,146.9911988,157.3848481,161.9308257,78.61378366,110.6640224,86.50804103,105.5668107,1,0,0,0
150.9256029,146.8574707,159.0332221,159.7638627,80.276395,106.5531986,86.6242188,107.0654117,1,0,0,0
147.3579926,145.7939852,160.6295239,159.0498339,80.9101551,104.5936927,86.27389863,108.5357374,1,0,0,0
146.4163428,145.4909327,161.019827,157.6799574,81.96333559,100.1861951,87.45945533,110.3678365,1,0,0,0
146.3400745,147.6363989,160.2093643,150.9943294,85.8531889,93.12948347,88.94774451,110.755033,1,0,0,0
155.9705061,148.9847437,138.9993497,113.4042884,92.22290073,85.16200714,100.5274507,102.1505821,1,0,0,0
156.1125061,148.1585315,137.7464802,121.8322456,87.93072065,89.06714504,102.5289003,105.8835042,1,0,0,0
155.6914493,140.528225,128.0578383,101.8475146,92.96027448,84.29230453,105.4856682,102.3737848,1,0,0,0
141.2113206,125.0478351,96.09473115,78.81648812,92.1324006,84.41546079,110.5787518,94.98497378,1,0,0,0
