back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,is_stand,is_back_front,is_knee_narrow,is_knee_wide
71.69014605,75.12845251,22.45337297,22.93212776,89.30518725,73.78010367,0,0,0,0
71.1435153,76.10471708,23.23261388,23.60482229,83.37459966,78.11964741,0,0,0,0
69.8058817,75.05972262,22.82977251,23.50948031,85.68401528,75.45891031,0,0,0,0
72.13081589,78.34716926,23.78630726,24.39755269,84.66999973,75.16396964,0,0,0,0
70.80435571,76.14319819,22.74935028,23.94533186,87.03889632,73.02587063,0,0,0,0
71.84043914,76.36657396,23.8976605,23.84643461,84.68442274,74.82800724,0,0,0,0
74.65491806,79.89979541,26.29544606,26.00621883,83.57665017,74.10181674,0,0,0,0
74.07425811,81.15565811,27.13849067,26.90005136,82.40384352,74.59604645,0,0,0,0
75.61014096,84.9288495,27.16192517,28.05754179,80.87365252,75.82872154,0,0,0,0
74.26071076,82.66621904,25.9970635,27.93015347,81.74949681,75.39540539,0,0,0,0
73.33305384,83.6782158,26.18663808,27.79039345,79.58921088,77.44583614,0,0,0,0
72.81501842,82.48470008,25.86925794,29.74000892,78.7554392,77.83539528,0,0,0,0
69.97419676,78.17914193,26.54690751,31.46266099,76.45408268,79.21657273,0,0,0,0
65.10631678,71.14988428,27.25781673,32.55280626,76.70116199,78.46627932,0,0,0,0
64.01974445,68.91810081,26.64405623,31.43230645,77.10369258,78.6595314,0,0,0,0
64.61443388,71.1229951,25.93809804,31.49054782,77.99219212,78.26506265,0,0,0,0
65.76497187,70.77270788,23.56279768,28.69683493,79.33460001,78.96339024,0,0,0,0
68.10010299,73.175635,22.1887596,26.2197898,77.90563198,82.71346896,0,0,0,0
67.14610864,71.48292037,20.71714803,23.80830286,81.07864003,82.33564393,0,0,0,0
68.15047783,71.13697091,20.45388977,23.65471277,82.85364734,82.25779787,0,0,0,0
63.14688286,61.10783927,20.23866837,23.25439518,85.36943959,81.70343531,0,0,0,0
63.3369417,62.063291,20.63122869,23.04130789,93.74783496,75.65126894,0,0,0,0
64.97643096,65.78938547,21.73442708,24.61979563,101.9487488,68.10048301,0,0,0,0
66.62651659,68.59834002,24.85022964,25.63035716,103.2011972,66.63033076,0,0,0,0
68.77175249,72.58855357,26.14341636,26.19330132,102.2349851,67.51674764,0,0,0,0
80.24265354,84.09845291,29.65512588,29.47877206,97.33026225,71.88019112,0,0,0,0
85.72650714,90.64103005,32.89872006,32.47348583,103.1405618,66.30562157,0,0,0,0
89.78970432,95.96760854,35.80760491,35.23325373,100.7330237,69.09597558,0,0,0,0
95.43615544,96.51379919,42.00329394,36.54846938,114.7024366,56.98067798,1,0,0,0
103.5938883,98.38551478,54.84655991,40.97244642,125.5810782,47.30134351,1,0,0,0
109.3447071,100.595111,61.60807893,44.74811442,124.821142,48.8579216,1,0,0,0
106.2140641,89.59370073,68.48744448,49.14474939,121.7504224,52.53403962,1,0,0,0
111.3289306,87.64051472,79.51975223,54.57608671,121.1076744,53.93670464,1,0,0,0
123.6417106,100.699803,93.57340112,68.77302787,111.6973699,63.32990732,1,0,0,0
127.4020789,113.5988923,96.36657994,78.94997164,103.3563844,71.63296792,1,0,0,0
149.116143,140.9117461,106.4085173,97.77430556,99.42393006,75.67744895,1,0,0,0
157.3981173,151.7955312,96.55015251,87.34018134,102.5457988,72.76503848,1,0,0,0
161.3505425,158.8861399,97.90153144,90.13185702,100.6022782,75.03458474,1,0,0,0
161.9978394,160.3205729,102.6884416,93.68316094,100.3440985,75.76571138,1,0,0,0
161.5705221,159.4626353,110.4918447,102.1862846,100.0046912,77.09110151,1,0,0,0
161.7275637,160.6644108,107.3341066,101.0093692,99.66114857,78.4326196,1,0,0,0
162.0217041,162.4054905,105.0873801,99.9998182,99.85408647,79.33985507,1,0,0,0
161.3773016,165.1490996,104.9683536,101.8961898,99.45437741,80.89398776,1,0,0,0
161.3399453,166.8230417,103.5968816,99.86043577,100.8392618,80.10992437,1,0,0,0
160.4601248,166.8551867,108.5267039,111.6899362,93.82980945,87.9386691,1,0,0,0
158.3811609,167.8760757,108.4501435,112.8229144,89.26428672,92.33166174,1,0,0,0
158.3670214,168.2666824,107.3780751,113.4429836,87.43708889,94.5114253,1,0,0,0
155.4145857,166.9330992,108.3445539,115.0944236,85.46109003,96.36297503,1,0,0,0
155.2096933,165.7081412,109.0513277,115.6075002,84.5054886,97.37457491,1,0,0,0
156.0120568,162.6913352,110.7156496,114.3961108,87.67319915,94.06613228,1,0,0,0
156.5514208,162.0800282,110.9500207,112.6064325,92.46490519,89.09701109,1,0,0,0
157.0013946,163.2891317,110.5520946,112.4705669,92.15935294,89.43598284,1,0,0,0
157.017377,163.219831,109.297679,111.2479171,91.73427215,89.90490235,1,0,0,0
157.7867199,162.9824612,109.3482895,109.6690811,91.61925624,90.29651612,1,0,0,0
