back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,knee_knee_dis
57.3,49.9,44.0,53.2,68.9,74.2,155.5,158.6,2.0
58.1,52.1,45.8,55.6,69.1,74.8,156.7,160.8,2.0
57.9,53.4,45.7,56.8,69.2,75.0,156.2,162.1,2.0
57.5,54.2,45.8,57.5,69.8,75.3,155.6,162.6,2.0
61.1,57.1,49.6,59.8,69.7,75.3,159.8,164.7,1.9
70.0,62.8,58.3,66.3,69.8,75.6,168.6,170.5,1.9
73.2,65.1,61.5,68.9,69.9,75.9,171.7,172.9,1.9
73.0,65.1,61.6,69.8,70.2,76.8,171.5,173.0,1.9
76.1,66.0,65.0,71.6,71.0,77.2,174.5,173.9,1.9
80.1,68.9,70.2,74.7,72.2,77.4,178.6,176.8,1.9
85.3,71.2,76.7,78.1,74.0,78.0,176.3,179.1,1.9
91.3,75.5,84.1,82.4,75.3,78.1,170.2,176.7,1.8
99.0,81.9,93.1,88.9,76.1,78.5,162.0,170.7,1.8
105.8,87.1,100.9,94.2,77.0,78.6,155.0,165.4,1.8
111.5,91.9,106.6,99.4,76.9,78.7,149.3,160.2,1.8
118.0,96.8,113.4,105.3,77.2,79.2,142.5,155.1,1.8
118.5,100.3,114.4,109.8,76.2,80.8,141.6,151.3,1.8
118.2,102.1,114.9,112.0,76.0,81.7,141.4,149.4,1.8
122.3,105.1,118.8,115.3,76.3,81.3,137.5,146.0,1.8
126.4,109.0,122.4,118.8,76.1,80.8,133.7,142.1,1.8
128.7,113.0,124.5,121.7,75.6,80.7,131.5,138.5,1.8
132.4,117.6,128.3,125.4,75.7,80.6,127.7,134.9,1.8
133.1,120.6,129.1,127.7,75.5,80.7,126.8,132.6,1.8
134.4,123.3,130.4,130.6,75.3,81.2,125.4,130.1,1.8
134.4,124.7,129.5,131.8,74.3,81.4,125.5,129.0,1.8
135.7,126.3,130.8,133.3,74.4,81.5,124.6,127.2,1.8
136.3,128.6,131.5,135.4,74.0,82.1,124.0,125.2,1.8
136.7,130.8,132.3,137.4,73.4,82.4,123.6,122.6,1.8
137.2,132.4,133.8,139.0,73.6,82.7,122.1,121.4,1.8
138.4,132.6,136.2,139.6,75.6,81.9,120.8,121.0,1.8
140.9,134.4,140.3,140.8,76.8,81.8,118.0,119.6,1.8
142.4,136.1,142.3,142.2,77.5,81.7,116.7,118.0,1.8
144.2,137.2,144.8,143.0,78.2,81.6,114.7,117.3,1.8
145.1,137.9,145.8,143.4,78.6,81.3,114.2,116.5,1.8
146.5,139.5,147.3,145.5,79.1,82.0,112.9,115.4,1.7
148.4,141.3,149.5,147.5,79.6,82.6,111.4,113.7,1.7
148.9,142.6,150.4,149.2,79.8,82.9,110.7,112.4,1.7
149.5,143.5,150.9,149.8,80.0,82.5,109.9,111.9,1.7
150.1,145.6,151.6,152.9,79.7,83.9,109.2,110.0,1.6
150.3,147.0,151.8,155.1,79.4,85.0,108.7,108.8,1.6
150.6,148.5,151.9,157.7,79.1,86.3,108.4,107.4,1.6
151.6,150.1,152.5,160.5,78.9,87.6,107.6,105.9,1.6
152.9,150.4,153.5,161.7,79.7,87.5,106.5,105.5,1.5
154.2,151.1,155.0,163.1,80.1,88.1,105.5,104.5,1.5
155.1,151.6,156.3,164.1,80.4,88.6,104.6,103.9,1.5
156.1,152.0,157.4,165.2,81.4,88.4,104.0,103.3,1.5
157.4,152.7,159.3,166.5,82.1,89.3,102.7,103.1,1.4
157.8,153.5,160.2,167.5,82.0,90.3,102.0,102.5,1.4
157.9,154.5,160.7,168.6,82.0,90.8,101.7,101.8,1.4
157.4,155.0,160.9,168.6,81.9,90.8,101.3,101.9,1.4
