right_shoulder_x,right_shoulder_y,right_shoulder_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_hip_x,right_hip_y,right_hip_z,left_hip_x,left_hip_y,left_hip_z,right_knee_x,right_knee_y,right_knee_z,left_knee_x,left_knee_y,left_knee_z,right_ankel_x,right_ankel_y,right_ankel_z,left_ankel_x,left_ankel_y,left_ankel_z,is_stand,is_back_front,is_knee_narrow,is_knee_wide
-1.487447587,-1.96984103,-0.180751564,0.238593135,-1.95148143,-0.13523634,-0.996848411,0.0149487674,0.0779087901,0,0,0,-1.183606604,1.441817112,-0.1751435,0.151071199,1.458737999,-0.178671841,-1.189781623,2.772050965,1.982669723,0.183133329,2.772949591,1.876877442,1,0,0,0
-1.486426899,-1.960669592,-0.172327771,0.235072055,-1.942897255,-0.173315741,-0.996459646,0.0153260863,0.0826636863,0,0,0,-1.180824144,1.4384375,-0.175493152,0.147909329,1.459140555,-0.214402331,-1.189908792,2.769188472,1.992343151,0.178690491,2.771769465,1.854726002,1,0,0,0
-1.488060082,-1.957354918,-0.146350399,0.231988379,-1.940195281,-0.166909701,-0.996556343,0.0149903891,0.0815520861,0,0,0,-1.180985352,1.439123969,-0.188395062,0.150008024,1.463027464,-0.231382602,-1.191358145,2.771435362,1.974627949,0.175396028,2.776048721,1.835125305,1,0,0,0
-1.487959366,-1.951024136,-0.114094775,0.228715967,-1.93449024,-0.164576781,-0.996478796,0.0146912243,0.0825480329,0,0,0,-1.179183567,1.432983726,-0.19671272,0.146665144,1.462390341,-0.229711411,-1.191966871,2.768835724,1.902772295,0.170431977,2.773661106,1.796690473,1,0,0,0
-1.488225276,-1.946881159,-0.109972036,0.228598033,-1.930732947,-0.171036141,-0.996398046,0.0142571214,0.0835922774,0,0,0,-1.178183889,1.428724128,-0.20940165,0.144944585,1.463520075,-0.228380048,-1.192220695,2.768951489,1.838137249,0.166974312,2.774395392,1.758832162,1,0,0,0
-1.488215988,-1.942701774,-0.106902243,0.227519725,-1.927007733,-0.170758339,-0.996744879,0.014669042,0.0792746163,0,0,0,-1.178751492,1.426722654,-0.228463619,0.141219535,1.464856615,-0.231632986,-1.19231743,2.769471346,1.834080559,0.162205637,2.775094217,1.762546363,1,0,0,0
-1.486609839,-1.938198527,-0.092120087,0.227019728,-1.923076371,-0.174532389,-0.996684937,0.015327617,0.0799011897,0,0,0,-1.179320612,1.422807029,-0.23064132,0.138103402,1.465258485,-0.23336313,-1.192398102,2.769581511,1.81707787,0.158524157,2.775490467,1.73851487,1,0,0,0
-1.486313348,-1.936687563,-0.100368585,0.227526722,-1.921259117,-0.177519237,-0.996650049,0.0149690773,0.0804027723,0,0,0,-1.180359372,1.42151472,-0.233775631,0.135938043,1.46686897,-0.232847237,-1.193634058,2.771239078,1.790114982,0.155236326,2.777676257,1.711442079,1,0,0,0
-1.486494651,-1.937910631,-0.085526235,0.228471488,-1.922323754,-0.179141591,-0.996545234,0.0152094885,0.0816472199,0,0,0,-1.183022883,1.420426608,-0.235668475,0.135627234,1.46841948,-0.253412169,-1.196701114,2.774031299,1.811117839,0.152792391,2.780857453,1.704906127,1,0,0,0
-1.485988026,-1.940011114,-0.0887954772,0.229694977,-1.924553057,-0.182149513,-0.996519069,0.0153370912,0.0819421727,0,0,0,-1.185091805,1.419028751,-0.235031417,0.13829687,1.469329656,-0.260393259,-1.198985445,2.776085301,1.820377624,0.150982353,2.783201503,1.710816156,1,0,0,0
