back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,label
72.48941656,76.34525087,19.30200328,17.75237431,84.59922038,84.33071646,89.24197257,102.5063456,2
61.49624007,65.93275473,17.73345483,17.11663577,83.91400548,86.07925695,89.60647477,101.1581674,2
48.44398917,52.61537216,15.15046457,15.34481175,83.53693975,87.98525583,89.18149128,100.1239866,2
55.79488872,58.86373268,17.17870533,16.83905521,86.38501645,84.2812379,89.53900753,100.4716002,2
59.58836859,62.61526113,18.44139601,18.0525926,86.11706182,84.09266418,89.68905186,100.7091255,2
61.72266021,64.91297171,18.12463325,18.64961846,87.55841976,82.87244829,89.68097915,100.7824014,2
46.22405343,49.55505771,15.89178854,16.16995076,92.56185255,79.43772975,88.79261369,100.5378321,2
48.56006726,53.32930986,15.78525075,16.28946617,91.26063894,80.979044,88.27195211,100.7630717,2
41.24233279,47.0443622,14.10585895,15.06840716,84.6294485,88.56863581,88.62916006,99.87964686,2
47.78564424,52.70427508,14.9959758,15.64087975,86.38800561,86.56407607,89.53277343,99.38935848,2
43.0835986,48.44458035,14.56486651,15.37369523,81.20696356,92.16613462,90.96606556,97.54942398,2
36.04580362,40.16524432,13.62976422,14.22377655,82.48284311,91.61709514,92.32297579,95.42108359,2
33.28306152,35.76980027,13.74643054,14.09042898,87.31066348,86.96218952,92.3617582,95.2846063,2
38.90046642,41.54197977,14.76935812,15.28237898,89.19459293,84.79413394,92.56562077,95.5361751,2
40.02034222,42.3228348,15.24155158,15.38869053,93.4095809,80.64978432,92.63568123,95.40841475,2
39.41411313,41.44073685,15.50312945,15.45423961,100.0095416,74.02852457,92.7576702,95.14251274,2
51.5893919,53.35847359,16.79923488,16.19410642,109.4790464,64.33901209,92.92597273,95.46583713,2
63.72714174,65.13473684,18.52975275,17.0986212,116.5285185,56.68490066,92.71883129,96.0074153,2
61.69842997,62.88749336,18.7233259,17.97225317,108.6871551,64.36233975,92.39695348,96.43940335,2
66.52926781,67.17861547,19.53347897,19.11988638,103.0655492,69.69585821,92.27785517,96.920502,2
62.01783901,65.20448554,18.60681231,18.32307774,104.500861,68.94176078,92.28216638,96.88750513,2
71.76553238,72.56156316,20.79663626,20.62430758,95.88023493,76.81620401,91.91075899,98.27482511,2
70.01393336,71.45808841,22.45298695,21.68155491,98.93699393,73.62498762,92.77012221,98.47483858,2
68.57830489,69.74071348,24.27093179,23.3034061,97.93752866,74.58501272,94.12863427,98.48833234,2
67.46202471,68.28228633,23.610125,22.84861872,96.45543921,76.35992307,94.8396359,97.25897343,2
67.81592584,68.14534485,24.80730734,24.02868734,95.74062409,77.08405382,96.20102709,96.49797043,2
77.48210059,78.37254184,28.47905843,27.25507901,95.67963902,76.41563452,97.56518139,96.28204881,2
90.25588301,92.10067766,31.1313216,31.5333373,83.80631378,87.79302723,100.2593499,94.86851704,2
103.4548833,103.9390699,37.12433494,35.39707513,91.07187948,80.65829675,103.6912881,94.79887467,1
106.7710843,107.7151567,36.91376843,36.42185709,86.63717695,86.02485938,104.2771865,94.48440209,1
111.5172083,110.697586,38.46439677,38.45963599,85.00173219,88.22739368,104.520974,95.38461355,1
106.4844724,106.3110753,36.29883472,37.3666762,82.85067956,90.78150809,103.7553744,94.7285278,1
106.1442231,110.1651931,36.45224315,43.27873867,69.74203687,104.1107333,103.5976829,96.54393807,1
104.1735975,108.8691805,37.59191228,43.80160871,71.31864303,102.6860378,104.0770868,95.86617233,1
107.3539457,114.6375464,41.76811314,49.27764167,70.95445935,103.4013735,107.1330539,95.79055478,1
108.2749999,114.3889702,42.28503532,48.71485622,72.86589408,101.7403189,107.711653,94.89932871,1
109.6536934,113.3997393,43.97875371,49.09339908,75.64702959,99.23739184,107.765375,94.9314717,1
108.1057715,113.809148,43.25653095,49.72198586,72.87243539,102.3270809,107.6573712,94.91049024,1
104.5665852,114.3917838,43.61900054,50.96259936,71.15102087,104.2134147,108.195492,94.66407821,1
103.4297948,115.306504,43.61829834,52.62436513,68.25631995,107.1087009,108.5239036,94.60905702,1
103.8462551,117.3323952,44.92158345,55.44907992,66.7467806,108.6333171,108.9831275,95.17604832,1
105.1813952,120.9199113,48.7292441,60.4321648,67.17369395,108.3272265,109.8803066,96.29542648,1
112.0043749,122.3654692,54.08291929,60.35039574,73.31235765,102.2065919,110.0748275,95.69877025,1
113.0745388,123.3923636,56.42840254,62.40690587,74.64971149,100.9752365,109.4777698,96.51380471,1
110.0481747,122.5549508,56.50172844,64.33963526,73.41160466,102.4099604,109.0522893,96.81981302,1
107.9370569,124.3965518,57.69042955,68.89588733,70.79087582,105.1847017,108.730775,98.0804068,1
