back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,is_stand,is_back_front,is_knee_narrow,is_knee_wide
152.2820711,161.3829021,110.97235,114.9029329,89.18416372,91.60783234,97.07262117,95.0871099,1,0,0,0
152.3597908,160.7543786,110.617168,113.973632,89.8122929,90.9369927,97.16965968,95.11937528,1,0,0,0
152.2517854,160.4122982,110.5704748,113.5586901,90.03959294,90.60043061,97.26249619,95.23046984,1,0,0,0
152.2486519,160.2049423,110.2348485,112.7582481,90.09276036,90.41809598,97.35177539,95.37078346,1,0,0,0
152.5399715,160.3168556,110.1370374,112.5397898,90.22668952,90.28542364,97.37251479,95.34436693,1,0,0,0
152.5376485,160.4160629,110.0802594,112.5604746,90.25503406,90.28500774,97.44470854,95.28669729,1,0,0,0
152.5633031,160.4749786,109.9812769,112.6207085,90.28221567,90.30679685,97.47591611,95.23890036,1,0,0,0
152.1742763,160.5976316,109.9191564,112.707554,89.9752926,90.64327151,97.56641646,95.10115988,1,0,0,0
152.0214948,160.6400158,110.0306682,112.9548342,89.7179177,90.8625982,97.65450818,95.06916356,1,0,0,0
151.7160746,160.2584105,109.9406877,112.6026466,89.77704215,90.69738372,97.70224445,95.14103584,1,0,0,0
151.1748323,160.0086949,109.9067765,112.4987667,89.6312093,90.77834538,97.74209089,95.14671262,1,0,0,0
150.1204801,159.6778562,109.7192388,112.3341415,89.19016938,91.11502933,97.92232467,95.11884518,1,0,0,0
149.6729377,159.5581971,109.3058529,112.2168272,88.7031854,91.51206591,98.043428,95.06739283,1,0,0,0
149.7870928,158.9684321,109.2239649,111.4761928,89.3077071,90.84395214,97.95214679,95.20802063,1,0,0,0
149.8211541,158.6620784,109.2740429,111.5635052,89.4333327,90.6276403,97.85315414,95.37264033,1,0,0,0
149.7088564,158.6717599,109.4575339,111.9250766,89.18772753,90.7830154,97.84719234,95.48328496,1,0,0,0
149.3462853,158.5467281,109.5261962,112.0408634,89.18393302,90.74280937,97.80159803,95.57068132,1,0,0,0
149.1569726,158.5362269,109.6550447,112.2404585,89.07630002,90.82872473,97.83425899,95.58670054,1,0,0,0
148.9585125,158.4493825,109.7292671,112.2212425,89.17258087,90.72283484,97.86433452,95.57774917,1,0,0,0
148.2119458,158.2167611,109.761092,112.0712063,89.06215368,90.8085386,98.00012347,95.49073634,1,0,0,0
147.7760792,158.0469389,109.8381318,111.9824455,88.9332687,90.90695264,98.09207639,95.44513979,1,0,0,0
147.591609,157.953129,109.8798374,111.7302026,88.89793157,90.93538107,98.14926847,95.4026461,1,0,0,0
147.6353774,157.9718009,109.816325,111.6228665,88.8581782,90.97681485,98.15494965,95.39464027,1,0,0,0
147.7194933,157.6795733,109.8248035,111.46871,88.94368475,90.89702752,98.12401568,95.41739428,1,0,0,0
147.5165997,157.654742,109.9537507,111.5775559,88.81819861,91.02200785,98.14392924,95.39550455,1,0,0,0
147.8003674,157.7005448,109.7422701,110.8351518,89.09333178,90.76578062,98.15457724,95.38608161,1,0,0,0
148.4924358,158.0780642,110.9288348,112.3259808,89.07087565,90.83619144,98.09374442,95.45284429,1,0,0,0
148.8897569,158.0305343,111.7854733,113.3495206,89.16837888,90.76655855,98.06166518,95.49928268,1,0,0,0
148.9641391,158.2032163,111.6963712,113.4003299,89.03575532,90.94799359,98.0040345,95.49971822,1,0,0,0
149.0621399,158.1222534,111.2468148,112.811105,89.32324699,90.67820589,97.96616111,95.50783242,1,0,0,0
149.2087066,158.0252901,111.203337,112.7019875,89.65318967,90.36725138,97.9068549,95.53780232,1,0,0,0
149.3057547,158.0221048,111.1766736,112.5298419,89.86063023,90.17766728,97.87053887,95.5258504,1,0,0,0
149.3361275,158.1369513,111.2280729,112.7200209,89.72844726,90.31697986,97.88093695,95.49626037,1,0,0,0
149.5636606,158.2499067,111.4004208,112.9356355,89.52750524,90.51699595,97.87638529,95.48539906,1,0,0,0
149.7217563,158.3475346,111.5757875,113.2023533,89.35516304,90.69546671,97.87585967,95.46958431,1,0,0,0
149.8841352,158.3579145,111.5874635,113.2472017,89.35157158,90.70362551,97.86452929,95.46970503,1,0,0,0
149.9886706,158.0078165,111.3139071,112.5123356,89.83841746,90.22413191,97.8472269,95.47273246,1,0,0,0
150.7619734,158.0181255,111.0675656,111.7908832,90.29462946,89.77596668,97.82904987,95.47246471,1,0,0,0
151.2156497,157.7624397,110.7247122,111.0131755,90.90396419,89.17798528,97.77860639,95.50033722,1,0,0,0
